date,gs,js,sb,is_price,real_is_price
201301,0.0043,0.5411,0.0962,0.07893272,76873340589 
201302,0,0.0465,0,0,65604000506 
201303,0.1694,0.4842,0.2675,0.202715015,94545920360 
201304,0.221,0.4806,0.2308,0.075072565,76322220715 
201305,0.2274,0.5197,0.2832,0.072774781,75994162688 
201306,0.3851,0.4201,0.2902,0.250227234,101329309555 
201307,0.1912,0.4272,0.3829,0.104152426,80473995038 
201308,0.169,0.2813,0.2605,0.029915632,69875099185 
201309,0.232,0.1817,0.0769,0.183506416,91803480600 
201310,0.2837,0.6158,0.4003,0.0892043,78339829209 
201311,0.3371,0.5767,0.2815,0.247387469,100923872121 
201312,0.5287,0.6193,0.3969,0.611206296,152866819390 
201401,0.0971,0.3738,0.1014,0.03527247,70639902800 
201402,0.0508,0.1853,0.1818,0.28650615,106508903529 
201403,0.2031,0.6051,0.4038,0.241719326,100114622996 
201404,0.2649,0.5802,0.4161,0.115313034,82067411416 
201405,0.2312,0.445,0.3794,0.146690263,86547184446 
201406,0.3869,0.4486,0.3252,0.310979013,110002930149 
201407,0.1986,0.5873,0.4266,0.219300041,96913788833 
201408,0.1756,0.1853,0.1049,0.196734973,93692140993 
201409,0.2045,0.2564,0.2535,0.205962365,95009549320 
201410,0.237,0.5019,0.2535,0.249121188,101171397759 
201411,0.2499,0.4521,0.4476,0.262515184,103083678216 
201412,0.4969,0.6763,0.6573,0.491497809,135775863176 
201501,0.0968,0.4192,0.2745,0.139703015,85549604701 
201502,0.075,0,0.2395,0.086207631,77911990383 
201503,0.2084,0.5577,0.5559,0.231411516,98642961903 
201504,0.1985,0.4846,0.4668,0.238156715,99605983828 
201505,0.2078,0.3269,0.3794,0.260275534,102763920083 
201506,0.4243,0.4885,0.5385,0.311999076,110148566003 
201507,0.2208,0.4462,0.5524,0.272550305,104516407094 
201508,0.223,0.2269,0.3392,0.21910681,96886201034 
201509,0.3495,0.4308,0.4003,0.313410825,110350123404 
201510,0.2929,0.6269,0.486,0.252536333,101658982935 
201511,0.3135,0.5385,0.4056,0.202530665,94519600446 
201512,0.6733,0.6269,0.6469,0.344847515,114838385703 
201601,0.1505,0.3962,0.2098,0.11374808,81843980689 
201602,0.1404,0.0731,0.1434,0.029505915,69816603233 
201603,0.3976,0.65,0.5052,0.176768116,90841443583 
201604,0.3299,0.4192,0.4248,0.134419106,84795213345 
201605,0.3677,0.5308,0.479,0.185549944,92095238016 
201606,0.6345,0.6115,0.6538,0.235770997,99265371372 
201607,0.3912,0.5231,0.4353,0.176287012,90772755658 
201608,0.4251,0.3538,0.472,0.220614498,97101455873 
201609,0.468,0.3808,0.3794,0.204971577,94868093067 
201610,0.5008,0.6,0.4668,0.263888857,103279799450 
201611,0.6172,0.7731,0.6171,0.326596934,112232723541 
201612,0.9129,0.8692,0.8706,0.42380496,126111255894 
201701,0.3262,0.4615,0.3846,0.18210042,91602744436 
201702,0.3979,0.3846,0.4283,0.157346031,88068524048 
201703,0.693,0.8538,0.8881,0.223994298,97583994824 
201704,0.5894,0.5885,0.715,0.248568163,101092441525 
201705,0.6035,0.6154,0.8462,0.242561311,100234834496 
201706,0.8147,0.6423,1,0.241610254,100099050665 
201707,0.5885,0.6192,0.7955,0.273998225,104723128793 
201708,0.5766,0.4808,0.6906,0.238167248,99607487592 
201709,0.7492,0.7923,0.7972,0.358036771,116721435193 
201710,0.5513,0.4231,0.4563,0.2067612,95123600129 
201711,0.6994,0.7923,0.7675,0.281217636,105753854660 
201712,1,0.7154,0.979,0.337942287,113852516316 
201801,0.5399,0.6692,0.7622,0.309028885,109724507507 
201802,0.4296,0.1769,0.6189,0.272916773,104568728348 
201803,0.6644,0.7538,0.9423,0.342663082,114526511062 
201804,0.6433,0.6769,0.7727,0.299013554,108294603920 
201805,0.6262,0.7154,0.7587,0.308019418,109580384301 
201806,0.7994,0.7308,0.7133,0.584224146,149014538241 
201807,0.5887,0.7538,0.6171,0.521612027,140075314231 
201808,0.5804,0.6423,0.4983,0.21295761,96008270630 
201809,0.5508,0.5192,0.4056,0.176413933,90790876283 
201810,0.5823,0.9115,0.5699,0.225011678,97729247595 
201811,0.6128,0.8038,0.5402,0.320786753,111403195436 
201812,0.8984,0.7462,0.6731,0.587304777,149454364456 
201901,0.4402,0.6308,0.4353,0.277837777,105271307292 
201902,0.3199,0.0308,0.1311,0.073092429,76039513780 
201903,0.6057,0.65,0.5857,0.135208232,84907877977 
201904,0.565,0.6923,0.6766,0.098978812,79735350611 
201905,0.5866,0.7462,0.5839,0.187125981,92320251096 
201906,0.7677,0.6462,0.5699,0.346096723,115016736991 
201907,0.5077,0.8192,0.5594,0.230046332,98448052590 
201908,0.5055,0.5462,0.458,0.219807036,96986173300 
201909,0.4827,0.5885,0.3986,0.245808014,100698370994 
201910,0.5471,0.8769,0.5402,0.263979075,103292680001 
201911,0.561,0.8577,0.5612,0.421351226,125760932688 
201912,0.9529,1,0.8934,1,208375466507 
202001,0.3808,0.5192,0.3636,0.229684416,98396381357 
202002,0.3924,0.4192,0.3619,0.283390799,106064120277 
202003,0.667,0.9615,0.7832,0.730856757,169949491106 
202004,0.5346,0.4846,0.7063,0.418872219,125407001261 
202005,0.5221,0.3462,0.6521,0.430347161,127045295594 
